PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
232,HH,A,6,6,1.0,0.1111111111111111,0.8888888888888888,1.0,896.0,910.5,1000.6666666666666,1004.5
232,HH,P,6,6,1.0,0.1111111111111111,0.8888888888888888,1.0,1064.1666666666667,1077.5,973.5,872.0
232,HL,A,6,6,1.0,0.1111111111111111,0.8888888888888888,0.8333333333333334,855.6666666666666,800.0,1614.1666666666667,950.0
232,HL,P,6,6,1.0,0.1111111111111111,0.8888888888888888,0.5,981.0,1042.5,12341.5,2505.5
232,LH,A,6,6,1.0,0.1111111111111111,0.8888888888888888,0.8333333333333334,868.6666666666666,873.0,1188.5,1207.5
232,LH,P,5,6,0.8333333333333334,0.1111111111111111,0.7222222222222223,0.8,896.4,894.0,1009.2,620.0
232,LL,A,6,6,1.0,0.1111111111111111,0.8888888888888888,1.0,901.6666666666666,907.5,1524.6666666666667,1385.0
232,LL,P,6,6,1.0,0.1111111111111111,0.8888888888888888,0.6666666666666666,973.0,851.0,1109.6666666666667,1035.0
235,HH,A,5,6,0.8333333333333334,0.1527777777777778,0.6805555555555556,1.0,1669.8,1379.0,1046.0,953.0
235,HH,P,6,6,1.0,0.1527777777777778,0.8472222222222222,0.6666666666666666,1875.8333333333333,1859.5,746.8333333333334,344.0
235,HL,A,4,6,0.6666666666666666,0.1527777777777778,0.5138888888888888,0.75,1298.75,1065.5,1880.0,866.5
235,HL,P,6,6,1.0,0.1527777777777778,0.8472222222222222,0.5,1174.6666666666667,1150.0,1972.6666666666667,459.5
235,LH,A,4,6,0.6666666666666666,0.1527777777777778,0.5138888888888888,1.0,1293.75,1296.0,374.0,295.0
235,LH,P,4,6,0.6666666666666666,0.1527777777777778,0.5138888888888888,0.5,1633.25,1501.5,2416.75,2066.5
235,LL,A,5,6,0.8333333333333334,0.1527777777777778,0.6805555555555556,0.8,1839.2,1759.0,757.0,827.0
235,LL,P,2,6,0.3333333333333333,0.1527777777777778,0.18055555555555552,1.0,1321.0,1321.0,1289.5,1289.5
236,HH,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.5,2065.3333333333335,2194.5,776.6666666666666,823.5
236,HH,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1368.6666666666667,1092.5,235.66666666666666,233.0
236,HL,A,5,6,0.8333333333333334,0.10416666666666667,0.7291666666666667,0.8,1424.8,1463.0,756.6,362.0
236,HL,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1688.0,1501.0,299.5,274.0
236,LH,A,5,6,0.8333333333333334,0.10416666666666667,0.7291666666666667,0.4,1680.8,1763.0,1088.8,543.0
236,LH,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,1965.8333333333333,1705.5,1156.1666666666667,670.0
236,LL,A,6,6,1.0,0.10416666666666667,0.8958333333333334,0.6666666666666666,2142.1666666666665,2061.5,433.3333333333333,326.5
236,LL,P,6,6,1.0,0.10416666666666667,0.8958333333333334,0.8333333333333334,2038.5,2028.0,948.1666666666666,359.0
241,HH,A,5,6,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.8,2037.4,1860.0,413.8,323.0
241,HH,P,6,6,1.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,2115.8333333333335,2016.0,2180.8333333333335,1476.0
241,HL,A,5,6,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.6,1574.6,1363.0,917.2,412.0
241,HL,P,6,6,1.0,0.16666666666666666,0.8333333333333334,0.5,1651.0,1426.0,737.8333333333334,385.0
241,LH,A,4,6,0.6666666666666666,0.16666666666666666,0.5,0.75,1963.0,1801.5,1047.25,299.5
241,LH,P,6,6,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,1698.3333333333333,1360.0,1072.3333333333333,547.0
241,LL,A,5,6,0.8333333333333334,0.16666666666666666,0.6666666666666667,0.2,1811.0,1502.0,355.2,368.0
241,LL,P,6,6,1.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1624.3333333333333,1680.0,1324.5,782.0
242,HH,A,6,6,1.0,0.020833333333333332,0.9791666666666666,0.6666666666666666,1891.6666666666667,1668.0,1209.8333333333333,925.0
242,HH,P,5,6,0.8333333333333334,0.020833333333333332,0.8125,1.0,1969.8,1948.0,1624.2,1670.0
242,HL,A,5,6,0.8333333333333334,0.020833333333333332,0.8125,0.8,1512.0,1588.0,710.4,786.0
242,HL,P,6,6,1.0,0.020833333333333332,0.9791666666666666,0.8333333333333334,1635.5,1627.0,1024.6666666666667,530.5
242,LH,A,6,6,1.0,0.020833333333333332,0.9791666666666666,1.0,1578.1666666666667,1481.5,1092.8333333333333,550.0
242,LH,P,5,6,0.8333333333333334,0.020833333333333332,0.8125,0.8,1667.8,1556.0,434.4,403.0
242,LL,A,3,6,0.5,0.020833333333333332,0.4791666666666667,0.6666666666666666,1366.3333333333333,1368.0,544.3333333333334,418.0
242,LL,P,4,6,0.6666666666666666,0.020833333333333332,0.6458333333333333,0.5,2136.5,1836.5,1173.25,1315.0
243,HH,A,6,6,1.0,0.04861111111111111,0.9513888888888888,1.0,1846.1666666666667,1879.0,809.3333333333334,760.5
243,HH,P,6,6,1.0,0.04861111111111111,0.9513888888888888,1.0,2425.1666666666665,2261.0,721.3333333333334,468.5
243,HL,A,6,6,1.0,0.04861111111111111,0.9513888888888888,1.0,2357.8333333333335,2271.5,1066.8333333333333,873.5
243,HL,P,6,6,1.0,0.04861111111111111,0.9513888888888888,0.8333333333333334,2501.6666666666665,2793.0,1498.6666666666667,691.5
243,LH,A,5,6,0.8333333333333334,0.04861111111111111,0.7847222222222222,1.0,2005.8,1807.0,375.2,257.0
243,LH,P,6,6,1.0,0.04861111111111111,0.9513888888888888,1.0,2095.6666666666665,2109.5,593.6666666666666,610.0
