participant_ID,word_type,voice,hits,misses,n_repeats,hit_rate,fa_rate,corr_memorability
313,HH,Active,5,1,6,0.8333,0.3333,0.5
313,LL,Passive,6,0,6,1.0,0.3333,0.6667
313,HL,Active,6,0,6,1.0,0.3333,0.6667
313,HL,Passive,6,0,6,1.0,0.3333,0.6667
313,LH,Active,6,0,6,1.0,0.3333,0.6667
313,HH,Passive,6,0,6,1.0,0.3333,0.6667
313,LH,Passive,5,1,6,0.8333,0.3333,0.5
313,LL,Active,6,0,6,1.0,0.3333,0.6667
314,LL,Active,5,1,6,0.8333,0.1111,0.7222
314,LH,Active,5,1,6,0.8333,0.1111,0.7222
314,LL,Passive,4,2,6,0.6667,0.1111,0.5556
314,HH,Passive,6,0,6,1.0,0.1111,0.8889
314,HH,Active,5,1,6,0.8333,0.1111,0.7222
314,LH,Passive,6,0,6,1.0,0.1111,0.8889
314,HL,Passive,5,1,6,0.8333,0.1111,0.7222
314,HL,Active,6,0,6,1.0,0.1111,0.8889
316,HH,Passive,6,0,6,1.0,0.125,0.875
316,LL,Active,4,2,6,0.6667,0.125,0.5417
316,HL,Active,6,0,6,1.0,0.125,0.875
316,LH,Passive,6,0,6,1.0,0.125,0.875
316,LL,Passive,6,0,6,1.0,0.125,0.875
316,HH,Active,6,0,6,1.0,0.125,0.875
316,HL,Passive,6,0,6,1.0,0.125,0.875
316,LH,Active,4,2,6,0.6667,0.125,0.5417
317,LH,Passive,4,2,6,0.6667,0.1875,0.4792
317,LL,Passive,5,1,6,0.8333,0.1875,0.6458
317,LH,Active,5,1,6,0.8333,0.1875,0.6458
317,HH,Passive,6,0,6,1.0,0.1875,0.8125
317,HH,Active,6,0,6,1.0,0.1875,0.8125
317,LL,Active,5,1,6,0.8333,0.1875,0.6458
317,HL,Active,6,0,6,1.0,0.1875,0.8125
317,HL,Passive,3,3,6,0.5,0.1875,0.3125
318,HH,Active,6,0,6,1.0,0.1042,0.8958
318,HH,Passive,6,0,6,1.0,0.1042,0.8958
318,LL,Passive,5,1,6,0.8333,0.1042,0.7292
318,LH,Passive,5,1,6,0.8333,0.1042,0.7292
318,HL,Active,6,0,6,1.0,0.1042,0.8958
318,LL,Active,6,0,6,1.0,0.1042,0.8958
318,HL,Passive,5,1,6,0.8333,0.1042,0.7292
318,LH,Active,5,1,6,0.8333,0.1042,0.7292
322,HL,Passive,4,2,6,0.6667,0.1806,0.4861
322,LH,Passive,5,1,6,0.8333,0.1806,0.6528
322,HH,Passive,4,2,6,0.6667,0.1806,0.4861
322,HH,Active,5,1,6,0.8333,0.1806,0.6528
322,LH,Active,5,1,6,0.8333,0.1806,0.6528
322,LL,Passive,5,1,6,0.8333,0.1806,0.6528
322,HL,Active,6,0,6,1.0,0.1806,0.8194
322,LL,Active,5,1,6,0.8333,0.1806,0.6528
323,HL,Passive,6,0,6,1.0,0.0486,0.9514
323,HH,Passive,5,1,6,0.8333,0.0486,0.7847
323,LH,Active,6,0,6,1.0,0.0486,0.9514
323,LH,Passive,6,0,6,1.0,0.0486,0.9514
323,LL,Active,6,0,6,1.0,0.0486,0.9514
323,HH,Active,6,0,6,1.0,0.0486,0.9514
323,HL,Active,5,1,6,0.8333,0.0486,0.7847
323,LL,Passive,6,0,6,1.0,0.0486,0.9514
325,LL,Passive,6,0,6,1.0,0.0903,0.9097
325,HH,Active,4,2,6,0.6667,0.0903,0.5764
325,LH,Passive,4,2,6,0.6667,0.0903,0.5764
325,HL,Passive,5,1,6,0.8333,0.0903,0.7431
325,LL,Active,1,5,6,0.1667,0.0903,0.0764
325,LH,Active,3,3,6,0.5,0.0903,0.4097
325,HH,Passive,5,1,6,0.8333,0.0903,0.7431
325,HL,Active,2,4,6,0.3333,0.0903,0.2431
326,LH,Passive,4,2,6,0.6667,0.1111,0.5556
326,HH,Active,3,3,6,0.5,0.1111,0.3889
326,HH,Passive,4,2,6,0.6667,0.1111,0.5556
326,HL,Passive,6,0,6,1.0,0.1111,0.8889
326,HL,Active,4,2,6,0.6667,0.1111,0.5556
326,LL,Passive,6,0,6,1.0,0.1111,0.8889
326,LL,Active,5,1,6,0.8333,0.1111,0.7222
326,LH,Active,5,1,6,0.8333,0.1111,0.7222
327,LL,Passive,6,0,6,1.0,0.0833,0.9167
327,LH,Active,6,0,6,1.0,0.0833,0.9167
327,HL,Active,6,0,6,1.0,0.0833,0.9167
327,LL,Active,4,2,6,0.6667,0.0833,0.5833
327,LH,Passive,6,0,6,1.0,0.0833,0.9167
327,HH,Active,5,1,6,0.8333,0.0833,0.75
327,HH,Passive,6,0,6,1.0,0.0833,0.9167
327,HL,Passive,6,0,6,1.0,0.0833,0.9167
328,LL,Passive,4,2,6,0.6667,0.1111,0.5556
328,LL,Active,6,0,6,1.0,0.1111,0.8889
328,HL,Active,4,2,6,0.6667,0.1111,0.5556
328,HH,Active,6,0,6,1.0,0.1111,0.8889
328,LH,Passive,5,1,6,0.8333,0.1111,0.7222
328,LH,Active,6,0,6,1.0,0.1111,0.8889
